	Cluster name	Sample name	Sample link	Population name	Population link	Color
0	SC_GMFUL5306389	SC_GMFUL5306389	https://www.internationalgenome.org/data-portal/sample/SC_GMFUL5306389	Gambian Fula	https://www.internationalgenome.org/data-portal/population/GWF	[17, 31, 121]
1	SC_GMFUL5306399	SC_GMFUL5306399	https://www.internationalgenome.org/data-portal/sample/SC_GMFUL5306399	Gambian Fula	https://www.internationalgenome.org/data-portal/population/GWF	[181, 69, 152]
2	SC_GMFUL5306400	SC_GMFUL5306400	https://www.internationalgenome.org/data-portal/sample/SC_GMFUL5306400	Gambian Fula	https://www.internationalgenome.org/data-portal/population/GWF	[97, 60, 194]
3	SC_GMFUL5306400	NA18582	https://www.internationalgenome.org/data-portal/sample/NA18582	Han Chinese	https://www.internationalgenome.org/data-portal/population/CHB	[97, 60, 194]
4	SC_GMFUL5306400	HG00096	https://www.internationalgenome.org/data-portal/sample/HG00096	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
5	SC_GMFUL5306400	HG00097	https://www.internationalgenome.org/data-portal/sample/HG00097	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
6	SC_GMFUL5306400	HG00099	https://www.internationalgenome.org/data-portal/sample/HG00099	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
7	SC_GMFUL5306400	HG00100	https://www.internationalgenome.org/data-portal/sample/HG00100	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
8	SC_GMFUL5306400	HG00101	https://www.internationalgenome.org/data-portal/sample/HG00101	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
9	SC_GMFUL5306400	HG00102	https://www.internationalgenome.org/data-portal/sample/HG00102	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
10	SC_GMFUL5306400	HG00103	https://www.internationalgenome.org/data-portal/sample/HG00103	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
11	SC_GMFUL5306400	HG00106	https://www.internationalgenome.org/data-portal/sample/HG00106	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
12	SC_GMFUL5306400	HG00107	https://www.internationalgenome.org/data-portal/sample/HG00107	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
13	SC_GMFUL5306400	HG00108	https://www.internationalgenome.org/data-portal/sample/HG00108	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
14	SC_GMFUL5306400	HG00109	https://www.internationalgenome.org/data-portal/sample/HG00109	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
15	SC_GMFUL5306400	HG00110	https://www.internationalgenome.org/data-portal/sample/HG00110	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
16	SC_GMFUL5306400	HG00111	https://www.internationalgenome.org/data-portal/sample/HG00111	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
17	SC_GMFUL5306400	HG00112	https://www.internationalgenome.org/data-portal/sample/HG00112	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
18	SC_GMFUL5306400	HG00114	https://www.internationalgenome.org/data-portal/sample/HG00114	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
19	SC_GMFUL5306400	HG00116	https://www.internationalgenome.org/data-portal/sample/HG00116	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
20	SC_GMFUL5306400	HG00117	https://www.internationalgenome.org/data-portal/sample/HG00117	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
21	SC_GMFUL5306400	HG00118	https://www.internationalgenome.org/data-portal/sample/HG00118	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
22	SC_GMFUL5306400	HG00119	https://www.internationalgenome.org/data-portal/sample/HG00119	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
23	SC_GMFUL5306400	HG00120	https://www.internationalgenome.org/data-portal/sample/HG00120	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
24	SC_GMFUL5306400	HG00121	https://www.internationalgenome.org/data-portal/sample/HG00121	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
25	SC_GMFUL5306400	HG00122	https://www.internationalgenome.org/data-portal/sample/HG00122	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
26	SC_GMFUL5306400	HG00123	https://www.internationalgenome.org/data-portal/sample/HG00123	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
27	SC_GMFUL5306400	HG00125	https://www.internationalgenome.org/data-portal/sample/HG00125	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
28	SC_GMFUL5306400	HG00126	https://www.internationalgenome.org/data-portal/sample/HG00126	British,English	https://www.internationalgenome.org/data-portal/population/GBR,EnglishSGDP	[97, 60, 194]
29	SC_GMFUL5306400	HG00127	https://www.internationalgenome.org/data-portal/sample/HG00127	British	https://www.internationalgenome.org/data-portal/population/GBR	[97, 60, 194]
30	SC_GMFUL5306400	HG00128	https://www.internationalgenome.org/data-portal/sample/HG00128	British,English	https://www.internationalgenome.org/data-portal/population/GBR,EnglishSGDP	[97, 60, 194]
